time	I(L1)
6.671035250000079e-04	-1.018075e+00
6.672000000000000e-04	-8.087179e-01
6.672096474999991e-04	-7.879210e-01
6.672289424999975e-04	-7.464020e-01
6.672675324999943e-04	-6.637369e-01
6.673447124999880e-04	-4.996583e-01
6.674990724999752e-04	-1.758356e-01
6.678077924999496e-04	4.547033e-01
6.684252324998986e-04	1.458679e+00
6.696601124997966e-04	3.096186e+00
6.715392392577860e-04	4.993719e+00
6.752974927737647e-04	7.193719e+00
6.802211628032386e-04	7.773990e+00
6.864675322045201e-04	6.388957e+00
6.941671565995869e-04	3.514503e+00
7.000000000000000e-04	1.283198e+00
7.000300000000000e-04	1.271623e+00
7.000900000000000e-04	1.245575e+00
7.002099999999999e-04	1.177715e+00
7.002999999999999e-04	1.112416e+00
7.003020000000000e-04	1.110705e+00
7.003059999999999e-04	1.107009e+00
7.003139999999999e-04	1.098168e+00
7.003199999999999e-04	1.086996e+00
7.003205999999999e-04	1.085681e+00
7.003217999999999e-04	1.083050e+00
7.003241999999998e-04	1.077779e+00
7.003289999999999e-04	1.067236e+00
7.003385999999999e-04	1.046159e+00
7.003577999999998e-04	1.004071e+00
7.003961999999997e-04	9.201901e-01
7.004729999999995e-04	7.536604e-01
7.005000000000000e-04	6.955201e-01
7.005027000000000e-04	6.897205e-01
7.005081000000001e-04	6.781322e-01
7.005189000000003e-04	6.549808e-01
7.005405000000006e-04	6.087705e-01
7.005837000000013e-04	5.167212e-01
7.006701000000027e-04	3.338706e-01
7.008429000000054e-04	-2.694649e-02
7.011885000000108e-04	-7.287241e-01
7.018797000000217e-04	-2.050790e+00
7.032621000000435e-04	-4.364890e+00
7.060269000000870e-04	-7.726813e+00
7.105756571228666e-04	-1.021111e+01
