time	I(L1)
6.000990000000000e-04	-2.902713e+00
6.001909999999999e-04	-2.849707e+00
6.002599999999999e-04	-2.802955e+00
6.002620000000000e-04	-2.801396e+00
6.002659999999999e-04	-2.798003e+00
6.002739999999999e-04	-2.790051e+00
6.002747500000000e-04	-2.789213e+00
6.002762499999999e-04	-2.787489e+00
6.002792499999999e-04	-2.782565e+00
6.002799999999999e-04	-2.781126e+00
6.002800749999999e-04	-2.780977e+00
6.002802250000000e-04	-2.780682e+00
6.002805250000000e-04	-2.780090e+00
6.002811250000000e-04	-2.778908e+00
6.002823250000001e-04	-2.776544e+00
6.002847250000002e-04	-2.771815e+00
6.002895250000004e-04	-2.762348e+00
6.002991250000009e-04	-2.743399e+00
6.003183250000019e-04	-2.705507e+00
6.003567250000040e-04	-2.629860e+00
6.004335250000079e-04	-2.479238e+00
6.005299999999999e-04	-2.291373e+00
6.005396474999991e-04	-2.272681e+00
6.005589424999975e-04	-2.235352e+00
6.005975324999943e-04	-2.160965e+00
6.006747124999880e-04	-2.013037e+00
6.008290724999752e-04	-1.720035e+00
6.011377924999496e-04	-1.145230e+00
6.017552324998986e-04	-4.121042e-02
6.029901124997966e-04	1.979633e+00
6.054598724995924e-04	5.268674e+00
6.095955668275403e-04	7.858440e+00
6.143525191294554e-04	8.324849e+00
6.206376523437784e-04	6.903319e+00
6.283161671582143e-04	3.983520e+00
6.333300000000000e-04	1.939074e+00
6.333600000000000e-04	1.926587e+00
6.334200000000000e-04	1.899280e+00
6.335399999999999e-04	1.831565e+00
6.336299999999999e-04	1.768789e+00
6.336320000000000e-04	1.767178e+00
6.336359999999999e-04	1.763729e+00
6.336439999999999e-04	1.755631e+00
6.336499999999999e-04	1.745794e+00
6.336505999999999e-04	1.744647e+00
6.336517999999999e-04	1.742350e+00
6.336541999999998e-04	1.737751e+00
6.336589999999998e-04	1.728551e+00
6.336685999999999e-04	1.710160e+00
6.336877999999998e-04	1.673439e+00
6.337261999999997e-04	1.600262e+00
6.338029999999995e-04	1.454864e+00
6.338299999999999e-04	1.404052e+00
6.338327000000000e-04	1.398979e+00
6.338381000000001e-04	1.388838e+00
6.338489000000003e-04	1.368569e+00
6.340001000000027e-04	1.086740e+00
